Ueberdeckung,Anzahl
0,0
1,1
2,6
3,15
4,16
5,21
6,22
7,26
8,29
9,25
10,26
11,26
12,22
13,32
14,37
15,29
16,31
17,27
18,32
19,44
20,28
21,31
22,38
23,27
24,36
25,26
26,33
27,43
28,38
29,31
30,41
31,27
32,41
33,40
34,37
35,48
36,31
37,44
38,30
39,45
40,42
41,39
42,39
43,40
44,37
45,54
46,44
47,31
48,46
49,43
50,37
51,36
52,46
53,36
54,23
55,32
56,39
57,31
58,32
59,35
60,44
61,35
62,35
63,32
64,33
65,28
66,22
67,22
68,24
69,37
70,27
71,20
72,16
73,23
74,23
75,18
76,16
77,17
78,19
79,17
80,15
81,12
82,8
83,11
84,11
85,11
86,5
87,11
88,10
89,2
90,4
91,5
92,6
93,4
94,6
95,8
96,7
97,9
98,7
99,9
